Timestamp dT0 sum(dT0) L0 int_weight n_AODVISstdn n_so4mass_a1 n_so4mass_a2 n_so4mass_a3 n_diamwet_a1 n_diamwet_a2 n_diamwet_a3 n_SAD_AERO 
2080 3.4050331533762233 3.4050331533762233 0.6898818565890685 1 0.6898818565890685 5124947872.305909 -33738226.588786796 117100696507.3379 0.0002034126266990553 1.7096678888524336e-05 0.0013169355641381795 0.0008783583681763684 
2081 2.4964730293780235 5.901506182754247 0.7439434179397035 1 0.7439434179397035 5214505328.078632 -35468148.54862976 128162929886.40266 0.000208714016112022 1.753810470927555e-05 0.00131713647742452 0.0009406861772096756 
2082 1.8726921589765766 7.774198341730823 0.7885129340198072 1 0.7885129340198072 5284725339.3684845 -36839908.15288325 137402678071.57584 0.00021287876726740128 1.789228675264914e-05 0.0013172373305288566 0.0009925362241674303 
2083 1.357726771518685 9.131925113249508 0.8217102527735094 1 0.8217102527735094 5335111702.923958 -37832498.90226874 144352002529.22174 0.00021587148887213992 1.815082586758988e-05 0.0013172880997572847 0.0010314165114919758 
2084 0.885360008121097 10.017285121370605 0.8428740636257677 1 0.8428740636257677 5366439572.754 -38453123.6913009 148811254632.74173 0.00021773401932379316 1.831343260932759e-05 0.0013173127081443942 0.0010563151470488474 
2085 0.6331767634000016 10.650461884770607 0.863141882148777 1 0.863141882148777 5395891219.389641 -39039005.966028124 153102344682.25555 0.00021948625130892662 1.846760480025033e-05 0.001317331869418066 0.0010802392121060955 
2086 0.3330826660705384 10.983544550841145 0.8736655620735272 1 0.8736655620735272 5410978674.024078 -39340050.531322226 155338241258.3017 0.00022038434915570184 1.8547074423978648e-05 0.001317340390646757 0.0010926914855769407 
2087 -0.11563534808391296 0.0 0.5631622102536503 1 0.5631622102536503 4892174648.691789 -29345567.838200156 91852612968.06958 0.0001896886817742612 1.6002731454958296e-05 0.0013157105665739036 0.0007349299699411579 
2088 0.1874296991003348 0.1874296991003348 0.5864960631496187 1 0.5864960631496187 4937806584.050572 -30194813.62377843 96425127084.80006 0.00019237268090352243 1.6211155789350774e-05 0.0013160651973132924 0.0007610393170995035 
2089 0.27532467691156626 0.46275437601190106 0.6062662134818569 1 0.6062662134818569 4975412293.797032 -30899052.391335454 100327353364.22491 0.00019458695403922735 1.638512067820684e-05 0.0013163073521620377 0.0007832716837007632 
2090 0.42295591605483196 0.885710292066733 0.6318426538274038 1 0.6318426538274038 5022717347.901928 -31790517.09316675 105412649285.10832 0.00019737534542052854 1.6606789156144064e-05 0.0013165574481492726 0.0008121791021786982 
2091 0.22588180548387982 1.1115920975506128 0.6422492692849657 1 0.6422492692849657 5041553084.060204 -32147205.693100158 107493436930.12874 0.00019848654275424814 1.6695933864685203e-05 0.001316642287546613 0.00082398684499403 
2092 0.3185642843225196 1.4301563818731324 0.6633641786534782 1 0.6633641786534782 5079075964.158347 -32860696.646047797 111735577504.47293 0.0002007017344129366 1.6875020997264654e-05 0.0013167895734564744 0.0008480239673252267 
2093 0.2174027072487661 1.6475590891218985 0.6762189302983787 1 0.6762189302983787 5101481873.961336 -33288596.652632583 114331234539.86992 0.00020202547184263887 1.6982913838470568e-05 0.001316865169514972 0.0008627088067857633 
2094 0.07941224001757519 1.7269713291394737 0.6841787399363973 1 0.6841787399363973 5115195696.606814 -33551181.68572322 115943360957.17851 0.00020283604484265075 1.7049304104231633e-05 0.0013169073428478581 0.0008718208466415256 
2095 0.0536496000893294 1.780620929228803 0.6945595748209077 1 0.6945595748209077 5132901472.197801 -33890969.09263408 118051348736.59146 0.00020388297322804187 1.713541702382143e-05 0.001316957541650137 0.0008837259378847776 
2096 0.06110634298210016 1.8417272722109033 0.7060793412254041 1 0.7060793412254041 5152318306.709948 -34264585.13690132 120397848497.8117 0.0002050315994400064 1.723036704479516e-05 0.001317007485166254 0.000896965420484131 
2097 0.1265580999392455 1.9682853721501488 0.721055617218503 1 0.721055617218503 5177208016.346025 -34745025.23976484 123459635782.46846 0.00020650477920761695 1.735286959629926e-05 0.0013170643931139552 0.0009142211422942707 
2098 -0.013248052951496447 1.9550373191986523 0.7263700994549203 1 0.7263700994549203 5185946885.490766 -34914112.99035609 124549154433.71428 0.000207022230315144 1.7396091444875934e-05 0.0013170826276813808 0.0009203562399657047 
2099 -0.41348265901388004 1.5415546601847723 0.713186016032785 1 0.713186016032785 5164178203.619326 -34493301.631076664 121849184693.37271 0.00020573345490152283 1.7288628511014546e-05 0.0013170355511326732 0.0009051476416005548 
2100 -0.17038732788915922 1.371167332295613 0.7248218401233806 1 0.7248218401233806 5183405984.245839 -34864927.66926667 124231584994.37578 0.0002068717656102455 1.738351301783832e-05 0.0013170774149164194 0.0009185682824936502 
