Timestamp dT0 sum(dT0) L0 L0hat int_weight n_AODVISstdn n_so4mass_a1 n_so4mass_a2 n_so4mass_a3 n_diamwet_a1 n_diamwet_a2 n_diamwet_a3 n_SAD_AERO 
2100 0.015341714748785762 -5.1159706363932855 0.6848014378130018 0.8276190476190480 1 0.6848014378130018 5116263460.56737 -33571648.42279565 116069633633.4263 0.00020289916792317483 1.7054484539972472e-05 0.001316910502913486 0.0008725342916816716 
2101 -0.10307786649315176 -5.219048502886437 0.6785995092764193 0.8276190476190478 1 0.6785995092764193 5105596005.276898 -33367317.411416683 114812993312.44458 0.00020226861396189732 1.7002802670950747e-05 0.0013168781355464387 0.0008654324741006447 
2102 -0.09717385242407772 -5.316222355310515 0.6760439538024792 0.8276190476190478 1 0.6760439538024792 5101179048.884029 -33282804.171003994 114295837567.8282 0.000202007576082903 1.6981450853229207e-05 0.001316864204279403 0.000862508663903258 
2103 -0.3760341425469278 -5.692256497857443 0.6577069096877255 0.8276190476190478 1 0.6577069096877255 5069111701.78735 -32670848.19911878 110596358931.38475 0.00020011328426112885 1.6827268959021694e-05 0.0013167531041270062 0.0008415734515009441 
2104 -0.18169421447549894 -5.873950712332942 0.6580609896684115 0.8276190476190478 1 0.6580609896684115 5069737237.546382 -32682758.418004137 110667604769.96596 0.0002001502216456395 1.6830262578180417e-05 0.0013167554475989629 0.0008419769598709401 
2105 -0.01891457796330087 -5.892865290296243 0.6620892113077805 0.8276190476190478 1 0.6620892113077805 5076835934.7303705 -32817993.60113583 111478667319.35756 0.00020056943436050776 1.686427372708464e-05 0.0013167815332649686 0.0008465695748300657 
2106 0.01437922046022777 -5.878486069836015 0.6634240558365258 0.8276190476190478 1 0.6634240558365258 5079181084.573628 -32862700.961104576 111747645337.48196 0.00020070794318952266 1.6875525522091762e-05 0.0013167899485438338 0.000848092280290715 
2107 -0.10172420011133454 -5.980210269947349 0.6573248824574046 0.8276190476190478 1 0.6573248824574046 5068436508.800263 -32657993.71924298 110519498144.4894 0.0002000734153036804 1.6824038320313655e-05 0.0013167505663801862 0.0008411381275336917 
2108 0.010857585052292507 -5.969352684895057 0.6607811848234504 0.8276190476190478 1 0.6607811848234504 5074534447.762621 -32774133.39509597 111215196334.9166 0.0002004335122016975 1.685323903113502e-05 0.0013167731775660099 0.0008450778649658867 
2109 0.15383635726715283 -5.815516327627904 0.6690920084489468 0.8276190476190478 1 0.6690920084489468 5089099589.665509 -33051952.907996017 112890946197.97751 0.00020129383753076993 1.6923200100513437e-05 0.00131682445813788 0.0008545625326462088 
