Timestamp dT0 sum(dT0) L0 L0hat int_weight n_AODVISstdn n_so4mass_a1 n_so4mass_a2 n_so4mass_a3 n_diamwet_a1 n_diamwet_a2 n_diamwet_a3 n_SAD_AERO 
2100 -0.17038732788915922 1.371167332295613 0.7248218401233806 0.6912000000000000 1 0.7248218401233806 5183405984.245839 -34864927.66926667 124231584994.37578 0.0002068717656102455 1.738351301783832e-05 0.0013170774149164194 0.0009185682824936502 
2101 -0.2583982281939825 1.1127691041016305 0.7151223845254141 0.6911999999999999 1 0.7151223845254141 5167394271.017245 -34555389.6627685 122245125594.13466 0.00020592381326510123 1.7304462107447945e-05 0.0013170428594272135 0.0009073789857845607 
2102 -0.3127504011990254 0.8000187029026051 0.7048435124477002 0.6911999999999999 1 0.7048435124477002 5150246751.175036 -34224675.13452466 120145756846.75087 0.00020490902800102272 1.7220211245447487e-05 0.0013170023981124452 0.0008955436925040558 
2103 -0.2747722570401834 0.5252464458624218 0.6982132772870226 0.6911999999999999 1 0.6982132772870226 5139085937.686721 -34009857.14547858 118794763934.77713 0.000204248763291527 1.716560106145388e-05 0.001316974008234092 0.0008879218826747723 
2104 -0.3219028760972833 0.20334356976513845 0.6878803394226999 0.6911999999999999 1 0.6878803394226999 5121532263.10564 -33672686.02887817 116694313559.5263 0.00020321066846491198 1.708007085363844e-05 0.001316925842283651 0.0008760631785700139 
2105 -0.3490144703064857 -0.14567090054134724 0.6773488096162606 0.6911999999999999 1 0.6773488096162606 5103435894.545347 -33325979.52197704 114559847331.45032 0.00020214094992733204 1.69923570968412e-05 0.0013168713619230844 0.0008640013623433848 
2106 -0.3895611644095993 -0.5352320649509466 0.6653057895779046 0.6911999999999999 1 0.6653057895779046 5082481026.560369 -32925635.97713832 112127004454.2867 0.00020090285747143382 1.6891371571718365e-05 0.0013168016227426199 0.0008502395467852627 
2107 -0.419996453112617 -0.9552285180635636 0.6526937008070669 0.6911999999999999 1 0.6526937008070669 5060227806.493288 -32501815.382670607 109588439285.34285 0.0001995887595973706 1.678481346070144e-05 0.0013167190199251085 0.0008358635788632371 
2108 -0.26630804343864156 -1.2215365615022051 0.6495403510616562 0.6911999999999999 1 0.6495403510616562 5054613431.137448 -32395103.91552862 108955225537.3006 0.00019925733457201432 1.6758040603508773e-05 0.0013166966901941573 0.0008322750609699183 
2109 -0.3040522888455257 -1.5255888503477308 0.6399700481025887 0.6911999999999999 1 0.6399700481025887 5037447490.069122 -32069375.072481025 107037141013.90424 0.0001982442921082626 1.667646026789737e-05 0.0013166244525862941 0.0008213985223591271 
2110 -0.17418909418444173 -1.6997779445321726 0.6387289229159347 0.6911999999999999 1 0.6387289229159347 5035207205.7281475 -32026925.21885929 106788803826.88368 0.000198112114618245 1.6665844264249952e-05 0.0013166145687579765 0.0008199896039881343 
2111 -0.16590201615144906 -1.8656799606836216 0.634315704648618 0.6911999999999999 1 0.634315704648618 5027214534.491096 -31875590.048634145 105906528156.16096 0.00019764060508613982 1.662802748594484e-05 0.00131657841500318 0.000814982750544536 
2112 -0.2388835932231359 -2.1045635539067575 0.6255834798803629 0.6911999999999999 1 0.6255834798803629 5011275716.814023 -31574329.518607628 104164359990.61748 0.00019670061382067017 1.6552884259035847e-05 0.001316502010555794 0.0008050898523899406 
2113 -0.20813092779906128 -2.312694481705819 0.6206168885338633 0.6911999999999999 1 0.6206168885338633 5002135460.195111 -31401887.077375162 103175593820.78249 0.00019616173801011134 1.650995493521332e-05 0.0013164554892394235 0.0007994714313646128 
2114 -0.23579895586937027 -2.548493437575189 0.6132398129835522 0.6911999999999999 1 0.6132398129835522 4988456963.495148 -31144258.529823873 101709802833.54254 0.0001953555370826336 1.6445931371234252e-05 0.001316381989309037 0.0007911374141262565 
2115 -0.16603417354929206 -2.714527611124481 0.6105442700291343 0.6911999999999999 1 0.6105442700291343 4983428033.870135 -31049671.5696518 101175069999.56068 0.000195059205810911 1.6422459420144878e-05 0.0013163537537224071 0.0007880955869836158 
2116 -0.2811545972859335 -2.9956822084104147 0.5994485694405022 0.6911999999999999 1 0.5994485694405022 4962549769.914725 -30657733.74531955 98978829247.5821 0.0001938293526191549 1.632539416473061e-05 0.001316229185485156 0.0007755936961418055 
2117 -0.07380241759625505 -3.0694846260066697 0.603187962779118 0.6911999999999999 1 0.603187962779118 4969618250.7653675 -30790291.166779358 99718108052.81131 0.0001942456547338989 1.6358187442346097e-05 0.0013162727168357013 0.0007798035212862583 
2118 -0.2091819818928684 -3.278666607899538 0.5935402394858126 0.6911999999999999 1 0.5935402394858126 4951313487.745971 -30447302.689216036 97812593812.24121 0.0001931677400801723 1.6273409835656367e-05 0.0013161570057376934 0.000768949326958902 
2119 -0.09733718305483308 -3.376003790954371 0.5939464527277422 0.6911999999999999 1 0.5939464527277422 4952088698.811461 -30461809.403063472 97892703022.61588 0.0001932133798037289 1.6276990616200314e-05 0.0013161621057139288 0.0007694058591321076 
2120 -0.07205981791497607 -3.4480636088693473 0.5926365440500388 0.6911999999999999 1 0.5926365440500388 4949587456.63964 -30415009.06462681 97634414806.17322 0.0001930661250926891 1.6265440157459228e-05 0.0013161455854609303 0.0007679338397035976 
2121 -0.19549060345485714 -3.6435542123242044 0.5837067451581862 0.6911999999999999 1 0.5837067451581862 4932424446.826851 -30094345.321028125 95876624607.13571 0.00019205594794111756 1.6186420728136585e-05 0.0013160270213965768 0.0007579106967022412 
